iter	Passed	Remaining
1066	6581	24259
1067	6587	24251
1068	6593	24246
1069	6599	24239
1070	6605	24231
1071	6611	24224
1072	6617	24218
1073	6623	24212
1074	6629	24205
1075	6635	24197
1076	6641	24191
1077	6650	24194
1078	6656	24190
1079	6662	24182
1080	6668	24174
1081	6673	24166
1082	6679	24157
1083	6684	24149
1084	6690	24141
1085	6696	24133
1086	6702	24126
1087	6707	24118
1088	6713	24110
1089	6719	24104
1090	6725	24097
1091	6731	24089
1092	6736	24081
1093	6742	24073
1094	6748	24065
1095	6753	24057
1096	6759	24049
1097	6765	24042
1098	6771	24034
1099	6776	24026
1100	6782	24019
1101	6788	24013
1102	6795	24009
1103	6801	24002
1104	6807	23994
1105	6812	23987
1106	6818	23980
1107	6824	23972
1108	6830	23965
1109	6836	23958
1110	6842	23950
1111	6847	23943
1112	6853	23936
1113	6859	23928
1114	6865	23920
1115	6870	23912
1116	6876	23904
1117	6882	23896
1118	6888	23889
1119	6893	23882
1120	6899	23874
1121	6905	23869
1122	6912	23864
1123	6920	23863
1124	6925	23855
1125	6931	23848
1126	6938	23843
1127	6944	23837
1128	6950	23831
1129	6957	23826
1130	6962	23818
1131	6968	23811
1132	6974	23804
1133	6980	23797
1134	6986	23789
1135	6992	23784
1136	6998	23779
1137	7005	23775
1138	7013	23774
1139	7021	23773
1140	7028	23771
1141	7035	23766
1142	7041	23759
1143	7047	23753
1144	7053	23746
1145	7058	23738
1146	7065	23733
1147	7073	23732
1148	7080	23730
1149	7087	23726
1150	7092	23719
1151	7098	23712
1152	7105	23707
1153	7111	23701
1154	7117	23695
1155	7123	23687
1156	7129	23681
1157	7136	23677
1158	7142	23672
1159	7148	23664
1160	7154	23657
1161	7160	23650
1162	7166	23643
1163	7172	23636
1164	7178	23629
1165	7183	23621
1166	7189	23614
1167	7195	23607
1168	7201	23600
1169	7207	23593
1170	7212	23584
1171	7218	23577
1172	7224	23569
1173	7230	23563
1174	7236	23555
1175	7242	23549
1176	7248	23543
1177	7254	23535
1178	7259	23527
1179	7265	23520
1180	7271	23515
1181	7278	23508
1182	7284	23502
1183	7289	23494
1184	7295	23487
1185	7302	23483
1186	7309	23479
1187	7314	23471
1188	7320	23465
1189	7327	23459
1190	7333	23453
1191	7339	23447
1192	7345	23439
1193	7350	23431
1194	7356	23423
1195	7362	23416
1196	7367	23408
1197	7374	23403
1198	7379	23395
1199	7385	23387
1200	7391	23379
1201	7397	23372
1202	7403	23369
1203	7409	23361
1204	7415	23354
1205	7421	23346
1206	7427	23339
1207	7433	23335
1208	7440	23329
1209	7445	23322
1210	7451	23314
1211	7457	23307
1212	7462	23299
1213	7468	23291
1214	7474	23284
1215	7480	23276
1216	7486	23270
1217	7492	23263
1218	7497	23256
1219	7503	23248
1220	7509	23241
1221	7515	23233
1222	7520	23226
1223	7526	23218
1224	7532	23211
1225	7538	23204
1226	7543	23196
1227	7549	23189
1228	7555	23182
1229	7561	23175
1230	7566	23167
1231	7572	23160
1232	7578	23153
1233	7584	23145
1234	7589	23137
1235	7595	23129
1236	7600	23122
1237	7607	23118
1238	7616	23121
1239	7624	23120
1240	7631	23114
1241	7637	23108
1242	7644	23104
1243	7649	23096
1244	7655	23089
1245	7661	23082
1246	7667	23075
1247	7673	23068
1248	7679	23063
1249	7688	23066
1250	7696	23063
1251	7702	23059
1252	7709	23053
1253	7715	23047
1254	7721	23040
1255	7727	23033
1256	7734	23031
1257	7740	23024
1258	7746	23017
1259	7751	23009
1260	7758	23004
1261	7764	22998
1262	7770	22991
1263	7776	22984
1264	7783	22980
1265	7789	22973
1266	7795	22966
1267	7801	22962
1268	7807	22955
1269	7813	22947
1270	7819	22942
1271	7825	22936
1272	7831	22928
1273	7838	22923
1274	7843	22915
1275	7849	22908
1276	7855	22902
1277	7862	22897
1278	7868	22891
1279	7889	22929
1280	7895	22921
1281	7900	22913
1282	7905	22904
1283	7918	22916
1284	7925	22912
1285	7930	22904
1286	7936	22897
1287	7942	22890
1288	7948	22882
1289	7953	22875
1290	7959	22867
1291	7967	22866
1292	7974	22863
1293	7982	22861
1294	7988	22855
1295	7994	22847
1296	7999	22840
1297	8005	22832
1298	8012	22829
1299	8019	22825
1300	8026	22820
1301	8033	22816
1302	8040	22813
1303	8047	22809
1304	8053	22804
1305	8060	22797
1306	8065	22790
1307	8072	22785
1308	8080	22784
1309	8086	22777
1310	8092	22770
1311	8098	22765
1312	8104	22758
1313	8110	22752
1314	8117	22746
1315	8123	22740
1316	8128	22732
1317	8134	22726
1318	8140	22718
1319	8146	22711
1320	8152	22703
1321	8157	22696
1322	8163	22689
1323	8171	22687
1324	8179	22686
1325	8186	22683
1326	8194	22680
1327	8200	22675
1328	8206	22668
1329	8213	22664
1330	8219	22657
1331	8225	22650
1332	8232	22646
1333	8240	22645
1334	8247	22641
1335	8254	22637
1336	8261	22632
1337	8267	22626
1338	8272	22619
1339	8278	22612
1340	8284	22604
1341	8290	22597
1342	8296	22590
1343	8302	22584
1344	8308	22577
1345	8314	22570
1346	8320	22563
1347	8326	22557
1348	8332	22550
1349	8338	22544
1350	8344	22537
1351	8350	22531
1352	8356	22524
1353	8362	22518
1354	8368	22510
1355	8374	22503
1356	8379	22496
1357	8385	22488
1358	8391	22481
1359	8397	22474
1360	8402	22467
1361	8408	22460
1362	8414	22453
1363	8420	22446
1364	8426	22440
1365	8432	22433
1366	8438	22426
1367	8444	22419
1368	8450	22412
1369	8456	22405
1370	8463	22402
1371	8470	22398
1372	8476	22391
1373	8482	22385
1374	8489	22380
1375	8495	22373
1376	8501	22367
1377	8507	22361
1378	8514	22358
1379	8522	22355
1380	8529	22351
1381	8535	22346
1382	8541	22340
1383	8547	22333
1384	8554	22328
1385	8560	22321
1386	8566	22313
1387	8572	22308
1388	8578	22301
1389	8588	22304
1390	8595	22300
1391	8601	22293
1392	8607	22288
1393	8613	22281
1394	8619	22274
1395	8625	22267
1396	8631	22261
1397	8638	22256
1398	8644	22250
1399	8650	22243
1400	8656	22236
1401	8661	22229
1402	8667	22221
1403	8673	22215
1404	8680	22210
1405	8686	22203
1406	8691	22196
1407	8698	22190
1408	8704	22184
1409	8710	22176
1410	8717	22172
1411	8722	22165
1412	8728	22157
1413	8734	22151
1414	8741	22146
1415	8747	22139
1416	8752	22132
1417	8758	22124
1418	8764	22118
1419	8770	22111
1420	8776	22104
1421	8782	22097
1422	8788	22092
1423	8794	22085
1424	8800	22078
1425	8807	22073
1426	8812	22065
1427	8818	22058
1428	8823	22050
1429	8829	22043
1430	8835	22036
1431	8841	22029
1432	8847	22022
1433	8855	22020
1434	8861	22014
1435	8867	22007
1436	8872	21999
1437	8878	21992
1438	8885	21987
1439	8891	21981
1440	8897	21976
1441	8904	21970
1442	8910	21963
1443	8915	21956
1444	8922	21950
1445	8929	21947
1446	8935	21941
1447	8943	21938
1448	8950	21934
1449	8956	21928
1450	8962	21921
1451	8968	21914
1452	8974	21907
1453	8981	21903
1454	8988	21899
1455	8994	21893
1456	9000	21886
1457	9007	21882
1458	9013	21875
1459	9019	21868
1460	9024	21860
1461	9030	21853
1462	9037	21849
1463	9044	21845
1464	9052	21842
1465	9058	21835
1466	9063	21828
1467	9070	21823
1468	9076	21816
1469	9082	21810
